totalcountprotected,totalCountInsurance,totalPriceInsurance
0.228,0.996,0.03614457831325301
0.228,0.996,0.03112449799196787
0.228,0.996,0.030120481927710843
0.228,0.996,0.023092369477911646
0.228,0.996,0.06827309236947791
0.228,0.996,0.03614457831325301
0.228,0.996,0.015060240963855422
0.228,0.996,0.0050200803212851405
0.228,0.996,0.006024096385542169
0.228,0.996,0.0050200803212851405
0.228,0.996,0.01104417670682731
0.228,0.996,0.009036144578313253
0.228,0.996,0.0050200803212851405
0.228,0.996,0.007028112449799197
0.228,0.996,0.008032128514056224
0.228,0.996,0.007028112449799197
0.228,0.996,0.008032128514056224
0.228,0.996,0.01706827309236948
0.228,0.996,0.02208835341365462
0.228,0.996,0.020080321285140562
0.228,0.996,0.009036144578313253
0.228,0.996,0.006024096385542169
0.228,0.996,0.01104417670682731
0.228,0.996,0.004016064257028112
0.228,0.996,0.006024096385542169
0.228,0.996,0.0050200803212851405
0.228,0.996,0.010040160642570281
0.228,0.996,0.009036144578313253
0.228,0.996,0.019076305220883535
0.228,0.996,0.014056224899598393
0.228,0.996,0.010040160642570281
0.228,0.996,0.020080321285140562
0.228,0.996,0.028112449799196786
0.228,0.996,0.03112449799196787
0.228,0.996,0.024096385542168676
0.228,0.996,0.0050200803212851405
0.228,0.996,0.015060240963855422
0.228,0.996,0.020080321285140562
0.228,0.996,0.02710843373493976
0.228,0.996,0.0321285140562249
0.228,0.996,0.05421686746987952
0.228,0.996,0.009036144578313253
0.228,0.996,0.0050200803212851405
0.228,0.996,0.007028112449799197
0.228,0.996,0.007028112449799197
0.228,0.996,0.006024096385542169
0.228,0.996,0.015060240963855422
0.228,0.996,0.004016064257028112
0.228,0.996,0.007028112449799197
0.228,0.996,0.013052208835341365
0.228,0.996,0.02108433734939759
0.228,0.996,0.004016064257028112
0.228,0.996,0.006024096385542169
0.228,0.996,0.0030120481927710845
0.228,0.996,0.008032128514056224
0.228,0.996,0.010040160642570281
0.228,0.996,0.013052208835341365
0.228,0.996,0.018072289156626505
0.228,0.996,0.019076305220883535
0.228,0.996,0.015060240963855422
0.228,0.996,0.008032128514056224
0.228,0.996,0.006024096385542169
0.228,0.996,0.014056224899598393
0.228,0.996,0.010040160642570281
0.228,0.996,0.02208835341365462
0.228,0.996,0.007028112449799197
0.228,0.996,0.012048192771084338
0.228,0.996,0.002008032128514056
0.228,0.996,0.007028112449799197
0.228,0.996,0.018072289156626505
0.228,0.996,0.008032128514056224
0.228,0.996,0.001004016064257028
0.228,0.996,0.02108433734939759
0.228,0.996,0.004016064257028112
0.228,0.996,0.004016064257028112
0.228,0.996,0.01104417670682731
0.228,0.996,0.009036144578313253
0.228,0.996,0.0050200803212851405
0.228,0.996,0.012048192771084338
0.228,0.996,0.009036144578313253
0.228,0.996,0.010040160642570281
0.228,0.996,0.008032128514056224
0.228,0.996,0.010040160642570281
0.228,0.996,0.002008032128514056
0.228,0.996,0.009036144578313253
0.228,0.996,0.009036144578313253
0.228,0.996,0.020080321285140562
0.228,0.996,0.025100401606425703
0.228,0.996,0.012048192771084338
0.228,0.996,0.023092369477911646
0.228,0.996,0.030120481927710843
0.228,0.996,0.04116465863453815
0.228,0.996,0.03313253012048193
0.228,0.996,0.020080321285140562
0.228,0.996,0.02208835341365462
0.228,0.996,0.006024096385542169
0.228,0.996,0.013052208835341365
0.228,0.996,0.007028112449799197
0.228,0.996,0.0050200803212851405
0.228,0.996,0.0030120481927710845
0.228,0.996,0.002008032128514056
0.228,0.996,0.004016064257028112
0.228,0.996,0.0030120481927710845
0.228,0.996,0.007028112449799197
0.228,0.996,0.018072289156626505
0.228,0.996,0.015060240963855422
0.228,0.996,0.023092369477911646
0.228,0.996,0.03313253012048193
0.228,0.996,0.029116465863453816
0.228,0.996,0.008032128514056224
0.228,0.996,0.02710843373493976
0.228,0.996,0.035140562248995984
0.228,0.996,0.04819277108433735
0.228,0.996,0.06224899598393574
0.228,0.996,0.06526104417670683
0.228,0.996,0.04317269076305221
0.228,0.996,0.09538152610441768
0.228,0.996,0.10943775100401607
0.228,0.996,0.17269076305220885
0.228,0.996,0.285140562248996
0.228,0.996,0.38755020080321284
0.228,0.996,0.38755020080321284
0.228,0.996,0.38755020080321284
0.228,0.996,0.23092369477911648
0.228,0.996,0.08634538152610442
0.228,0.996,0.028112449799196786
0.228,0.996,0.007028112449799197
0.228,0.996,0.015060240963855422
0.228,0.996,0.006024096385542169
0.228,0.996,0.009036144578313253
0.228,0.996,0.014056224899598393
0.228,0.996,0.008032128514056224
0.228,0.996,0.020080321285140562
0.228,0.996,0.008032128514056224
0.228,0.996,0.013052208835341365
0.228,0.996,0.013052208835341365
0.228,0.996,0.023092369477911646
0.228,0.996,0.03313253012048193
0.228,0.996,0.025100401606425703
0.228,0.996,0.06726907630522089
0.228,0.996,0.04919678714859438
0.228,0.996,0.0050200803212851405
0.228,0.996,0.002008032128514056
0.228,0.996,0.0050200803212851405
0.228,0.996,0.01104417670682731
0.228,0.996,0.01104417670682731
0.228,0.996,0.019076305220883535
0.228,0.996,0.025100401606425703
0.228,0.996,0.04116465863453815
0.228,0.996,0.07630522088353414
0.228,0.996,0.07630522088353414
0.228,0.996,0.0321285140562249
0.228,0.996,0.018072289156626505
0.228,0.996,0.03614457831325301
0.228,0.996,0.015060240963855422
0.228,0.996,0.0030120481927710845
0.228,0.996,0.007028112449799197
0.228,0.996,0.0030120481927710845
0.228,0.996,0.007028112449799197
0.228,0.996,0.004016064257028112
0.228,0.996,0.008032128514056224
0.228,0.996,0.002008032128514056
0.228,0.996,0.015060240963855422
0.228,0.996,0.015060240963855422
0.228,0.996,0.01606425702811245
0.228,0.996,0.014056224899598393
0.228,0.996,0.02710843373493976
0.228,0.996,0.04718875502008032
0.228,0.996,0.03413654618473896
0.228,0.996,0.04919678714859438
0.228,0.996,0.018072289156626505
0.228,0.996,0.006024096385542169
0.228,0.996,0.009036144578313253
0.228,0.996,0.008032128514056224
0.228,0.996,0.014056224899598393
0.228,0.996,0.014056224899598393
0.228,0.996,0.008032128514056224
0.228,0.996,0.01606425702811245
0.228,0.996,0.01104417670682731
0.228,0.996,0.02710843373493976
0.228,0.996,0.03313253012048193
0.228,0.996,0.03815261044176707
0.228,0.996,0.05923694779116466
0.228,0.996,0.01104417670682731
0.228,0.996,0.006024096385542169
0.228,0.996,0.018072289156626505
0.228,0.996,0.02710843373493976
0.228,0.996,0.04317269076305221
0.228,0.996,0.03413654618473896
0.228,0.996,0.04116465863453815
0.228,0.996,0.01706827309236948
0.228,0.996,0.012048192771084338
0.228,0.996,0.002008032128514056
0.228,0.996,0.0030120481927710845
0.228,0.996,0.008032128514056224
0.228,0.996,0.008032128514056224
0.228,0.996,0.01104417670682731
0.228,0.996,0.008032128514056224
0.228,0.996,0.008032128514056224
0.228,0.996,0.0050200803212851405
0.228,0.996,0.02208835341365462
0.228,0.996,0.0030120481927710845
0.228,0.996,0.007028112449799197
0.228,0.996,0.01606425702811245
0.228,0.996,0.02208835341365462
0.228,0.996,0.029116465863453816
0.228,0.996,0.04417670682730924
0.228,0.996,0.020080321285140562
0.228,0.996,0.01104417670682731
0.228,0.996,0.008032128514056224
0.228,0.996,0.007028112449799197
0.228,0.996,0.001004016064257028
0.228,0.996,0.008032128514056224
0.228,0.996,0.007028112449799197
0.228,0.996,0.01706827309236948
0.228,0.996,0.02108433734939759
0.228,0.996,0.009036144578313253
0.228,0.996,0.009036144578313253
0.228,0.996,0.014056224899598393
0.228,0.996,0.020080321285140562
0.228,0.996,0.025100401606425703
0.228,0.996,0.04116465863453815
0.228,0.996,0.05321285140562249
0.228,0.996,0.07028112449799197
0.228,0.996,0.04116465863453815
0.228,0.996,0.04618473895582329
0.228,0.996,0.04919678714859438
0.228,0.996,0.06224899598393574
0.228,0.996,0.02710843373493976
0.228,0.996,0.07028112449799197
0.228,0.996,0.02610441767068273
0.228,0.996,0.03112449799196787
0.228,0.996,0.08032128514056225
0.228,0.996,0.06626506024096386
0.228,0.996,0.05120481927710843
0.228,0.996,0.06827309236947791
0.228,0.996,0.05823293172690763
0.228,0.996,0.01104417670682731
0.228,0.996,0.023092369477911646
0.228,0.996,0.025100401606425703
0.228,0.996,0.0572289156626506
0.228,0.996,0.04116465863453815
0.228,0.996,0.009036144578313253
0.228,0.996,0.006024096385542169
0.228,0.996,0.009036144578313253
0.228,0.996,0.01104417670682731
0.228,0.996,0.006024096385542169
0.228,0.996,0.006024096385542169
0.228,0.996,0.009036144578313253
0.228,0.996,0.002008032128514056
0.228,0.996,0.006024096385542169
0.228,0.996,0.01706827309236948
0.228,0.996,0.009036144578313253
0.228,0.996,0.015060240963855422
0.228,0.996,0.025100401606425703
0.228,0.996,0.013052208835341365
0.228,0.996,0.040160642570281124
0.228,0.996,0.006024096385542169
0.228,0.996,0.0
0.228,0.996,0.01104417670682731
0.228,0.996,0.01606425702811245
0.228,0.996,0.012048192771084338
0.228,0.996,0.014056224899598393
0.228,0.996,0.019076305220883535
0.228,0.996,0.029116465863453816
0.228,0.996,0.001004016064257028
0.228,0.996,0.009036144578313253
0.228,0.996,0.0030120481927710845
0.228,0.996,0.004016064257028112
0.228,0.996,0.009036144578313253
0.228,0.996,0.0050200803212851405
0.228,0.996,0.0030120481927710845
0.228,0.996,0.012048192771084338
0.228,0.996,0.0050200803212851405
0.228,0.996,0.006024096385542169
0.228,0.996,0.007028112449799197
0.228,0.996,0.018072289156626505
0.228,0.996,0.02710843373493976
0.228,0.996,0.02208835341365462
0.228,0.996,0.015060240963855422
0.228,0.996,0.029116465863453816
0.228,0.996,0.018072289156626505
0.228,0.996,0.03815261044176707
0.228,0.996,0.04618473895582329
0.228,0.996,0.07429718875502007
0.228,0.996,0.014056224899598393
0.228,0.996,0.030120481927710843
0.228,0.996,0.03313253012048193
0.228,0.996,0.0853413654618474
0.228,0.996,0.09538152610441768
0.228,0.996,0.1395582329317269
0.228,0.996,0.24899598393574296
0.228,0.996,0.22791164658634538
0.228,0.996,0.3313253012048193
0.228,0.996,0.20481927710843373
